"##characteristics#compile#binary_size#min";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
34432;3.2385025;0.02469750000000004
34416;3.3505215;0.02491549999999987
32692;3.3582415;0.00045549999999994206
31780;3.2368725;0.014572499999999877
34432;3.270214;0.03489900000000001
34432;3.2239465000000003;0.010834499999999858
36280;3.1042815;0.021572499999999994
32476;3.3114065;0.02862650000000011
34748;3.1172285000000004;0.0022925000000000306
33568;4.3381965000000005;0.03314249999999985
33024;4.2454535;0.006670500000000246
37824;3.3688145;0.006217499999999987
36748;3.123306;0.010553999999999952
31456;3.994714;0.02344999999999975
34432;3.266394;0.01027699999999987
33912;3.325314;0.01532700000000009
34432;3.261444;0.0036520000000002106
34432;3.0750375;0.01028349999999989
33088;4.2720855;0.00858649999999983
34840;3.2866619999999998;0.009130000000000082
32540;3.2201994999999997;0.010603499999999988
32692;3.1879605;0.0005065000000001874
35184;3.2336265;0.0017125000000000057
34436;3.2331554999999996;0.024871499999999935
34016;3.707252;0.0018090000000001716
33672;3.200185;0.0036000000000000476
38656;3.4679525;0.018363499999999977
33968;3.2802844999999996;0.03203650000000002
34760;3.261872;0.03291500000000003
32592;3.19744;0.007301000000000002
33912;3.2702714999999998;0.02539450000000021
34432;3.2779439999999997;0.004225999999999841
32724;3.26024;0.017148000000000163
